,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
0,2512 w laredo ln,phoenix,85085,5.0,4.0,3253.0,2006.0,389900.0,"['""zestimate"":394243']","['""rentZestimate"":2395']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,729 +3.6% $30,160 +6.3%","$394,282 (+0.0 %)",0
1,4419 w summerside rd,laveen,85339,5.0,3.0,3016.0,2005.0,324000.0,"['""zestimate"":322013']","['""rentZestimate"":1800']",single family,"['HOA Fee"",""factValue"":""$93']","2018 $3,273 +5.8% $23,520 +12.5%","$329,194 (+2.2 %)",0
2,3820 s 101st dr,tolleson,85353,3.0,2.0,2213.0,2006.0,249900.0,"['""zestimate"":248202']","['""rentZestimate"":1425']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $1,766 +20% $16,850 +11.1%","$256,914 (+3.5 %)",0
3,6618 s 54th ln,laveen,85339,5.0,3.0,4040.0,2006.0,345900.0,"['""zestimate"":340518']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $3,121 +5.8% $25,810 +17.9%","$344,774 (+1.2 %)",0
4,2221 n 94th ave,phoenix,85037,4.0,3.0,2603.0,2005.0,260900.0,"['""zestimate"":250584']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $1,515 +12% $17,310 +17.2%","$258,628 (+3.2 %)",0
5,2344 w dusty wren dr,phoenix,85085,3.0,3.0,2092.0,2005.0,302900.0,"['""zestimate"":299935']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$107']","2018 $1,906 +3.6% $19,720 +7.3%","$305,484 (+1.9 %)",0
6,2513 w oberlin way,phoenix,85085,4.0,3.0,2232.0,2002.0,319500.0,"['""zestimate"":317109']","['""rentZestimate"":1700']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,243 +3.4% $23,270 +4.7%","$322,722 (+1.8 %)",0
7,7230 s 42nd ln,phoenix,85041,3.0,1.75,1278.0,2004.0,189000.0,"['""zestimate"":193733']","['""rentZestimate"":1200']",single family,"['HOA Fee"",""factValue"":""$76']","2018 $1,253 -4.8% $12,200 +18.1%","$204,311 (+5.5 %)",0
8,6412 w whyman ave,phoenix,85043,4.0,2.5,2119.0,2001.0,190000.0,"['""zestimate"":236984']","['""rentZestimate"":1395']",single family,"['HOA Fee"",""factValue"":""$30']","2018 $1,276 +6.6% $16,800 +13.1%","$244,496 (+3.2 %)",0
9,2342 w tallgrass trl,phoenix,85085,5.0,3.0,2542.0,2006.0,353900.0,"['""zestimate"":349132']","['""rentZestimate"":1900']",single family,"['HOA Fee"",""factValue"":""$108']","2018 $2,273 +3.6% $26,020 +4.6%","$351,890 (+0.8 %)",0
10,4611 e laredo ln,cave creek,85331,4.0,3.0,2132.0,2000.0,364900.0,"['""zestimate"":362253']","['""rentZestimate"":2000']",single family,"['HOA Fee"",""factValue"":""$63']","2018 $1,734 +3.8% $26,530 +3.9%","$364,427 (+0.6 %)",0
11,4313 w hasan dr,laveen,85339,4.0,3.0,2156.0,2006.0,249900.0,"['""zestimate"":235423']","['""rentZestimate"":1434']",single family,"['HOA Fee"",""factValue"":""$45']","2018 $1,898 +5.8% $16,480 +12.8%","$242,556 (+3.0 %)",0
