address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec
,portland,97233,3.0,2.0,1217,1947,200000,"['""zestimate"":261319']","['""rentZestimate"":1795']",single family,[],"2017 $3,543 +6.6% $159,320 +3%","-$67,363 (-20.5 %)"
"5734 NE Alton St,", Portland,['97213'],3 bd,2 ba,"1,300 sqft",2004,"$299,999","$356,900","$1,850/mo",Single Family,HOA fees$0/mo,"2017$3,872(+14%)$148,350(+3%)",(+0.4 %)
"4629 NE 91st Ave,", Portland,['97220'],3 bd,2 ba,"1,686 sqft",1926,"$299,000","$314,776","$1,895/mo",Single Family,HOA fees$0/mo,"2017$2,819(+7.5%)$129,250(+3%)",(+3.5 %)
"331 NE Bridgeton Rd SLIP 2,", Portland,['97211'],2 bd,2 ba,"1,500 sqft",1989,"$289,000","$283,558","$1,975/mo",Single Family,HOA fees$0/mo,,
"8815 NW Shepard St,", Portland,['97231'],2 bd,2 ba,"2,934 sqft",1938,"$399,900","$534,046","$2,495/mo",Single Family,HOA fees$0/mo,,
"9326 N Woolsey Ave,", Portland,['97203'],3 bd,2 ba,"1,438 sqft",2007,"$330,000","$334,494","$1,900/mo",Single Family,HOA fees$98/mo,"2017$4,015(+205%)$153,830(+175.6%)",(+6.1 %)
"5738 NE Ainsworth St,", Portland,['97218'],3 bd,3 ba,"1,398 sqft",2000,"$350,000","$372,548","$1,995/mo",Single Family,HOA fees$0/mo,"2017$5,414(+14%)$207,440(+3%)",
"4338 SE 138th Pl,", Portland,['97236'],3 bd,2 ba,"1,192 sqft",1997,"$290,000",,,Single Family,,,
"5101 SE Malden Dr,", Portland,['97206'],2 bd,1 ba,899 sqft,1930,"$185,000","$170,543","$1,595/mo",Single Family,HOA fees$0/mo,"2017$2,325(+14%)$89,090(+3%)",
"3329 NE 164th Loop,", Portland,['97230'],5 bd,3 ba,"2,336 sqft",2004,"$409,000","$410,690","$2,200/mo",Single Family,HOA fees$0/mo,"2017$5,305(+8.8%)$237,910(+3%)",(+0.7 %)
"6606 N Denver Ave,", Portland,['97217'],3 bd,1 ba,"1,806 sqft",1927,"$380,000","$413,189","$1,995/mo",Single Family,HOA fees$0/mo,"2017$3,152(+14%)$120,770(+3%)",
"5120 SE 45th Ave,", Portland,['97206'],2 bd,1 ba,"1,264 sqft",1923,"$329,900","$340,506","$1,650/mo",Single Family,HOA fees$0/mo,"2017$3,051(+14%)$116,930(+3%)",
"173 NE Bridgeton Rd SLIP 18,", Portland,['97211'],2 bd,2 ba,"1,300 sqft",1979,"$200,000","$225,216","$1,895/mo",Single Family,HOA fees$0/mo,,
"5222 SW Iowa St,", Portland,['97221'],3 bd,2 ba,"1,848 sqft",1951,"$399,900","$446,378","$1,995/mo",Single Family,HOA fees$0/mo,"2017$3,991(-2%)$177,990(+3%)",(+6.6 %)
"6205 SW Corbett Ave,", Portland,['97239'],2 bd,1 ba,"1,204 sqft",1923,"$385,000","$407,333","$1,695/mo",Single Family,HOA fees$0/mo,"2017$4,608(+14%)$176,720(+3%)",
"8002 N Tyler Ave,", Portland,['97203'],3 bd,1 ba,"1,616 sqft",1928,"$394,900",,,Single Family,,,
"15842 SE Henderson Way,", Portland,['97236'],3 bd,2 ba,"1,960 sqft",1999,"$449,900","$437,401","$2,200/mo",Single Family,HOA fees$33/mo,"2017$5,868(+12.9%)$267,310(+3%)",(+6.2 %)
"7010 SE Boise St,", Portland,['97206'],3 bd,2 ba,"1,907 sqft",1904,"$465,000","$443,726","$1,925/mo",Single Family,HOA fees$0/mo,"2017$3,144(+43.7%)$95,570(+3%)",(+19.5 %)
"4611 SE Salmon St,", Portland,['97215'],3 bd,1 ba,"2,206 sqft",1901,"$330,000","$424,760","$1,995/mo",Single Family,HOA fees$0/mo,"2017$2,928(+14%)$112,190(+3%)",
"11317 SW 64th Ave,", Portland,['97219'],3 bd,2 ba,"1,146 sqft",1978,"$330,000","$339,200","$1,750/mo",Single Family,HOA fees$0/mo,"2017$4,442(+14%)$170,390(+3%)",(+2.4 %)
"8841 SE 16th Ave,", Portland,['97202'],2 bd,2 ba,"1,044 sqft",1926,"$419,000",,,Single Family,,,
"5004 SE 58th Ave,", Portland,['97206'],2 bd,1 ba,"1,164 sqft",1953,"$339,900","$355,009","$1,850/mo",Single Family,HOA fees$0/mo,"2017$3,471(+14%)$132,990(+3%)",(+1.3 %)
"8566 SE 57th Ave,", Portland,['97206'],2 bd,1 ba,"1,669 sqft",1946,"$240,000",,,Single Family,,,
"1235 N Terry St,", Portland,['97217'],4 bd,1 ba,"2,170 sqft",1928,"$260,000","$362,723","$1,995/mo",Single Family,HOA fees$0/mo,"2017$3,552(+14%)$136,120(+3%)",
,None,None,,,,,,[],[],,[],,
"2532 SW Bertha Blvd,", Portland,['97239'],3 bd,2 ba,"1,938 sqft",1963,"$459,900","$461,066","$2,115/mo",Single Family,HOA fees$0/mo,"2017$5,862(+14%)$224,850(+3%)",
"4136 SE 16th Ave,", Portland,['97202'],3 bd,2 ba,"1,512 sqft",1925,"$479,900","$476,721","$2,295/mo",Single Family,HOA fees$0/mo,"2017$4,329(+14%)$165,870(+3%)",(+1.9 %)
"6712 SE Pardee St # A,", Portland,['97206'],4 bd,1 ba,"1,728 sqft",1907,"$175,000","$173,163","$1,895/mo",Single Family,HOA fees$0/mo,"2017$1,554(+14%)$59,560(+3%)",(+21.9 %)
"7156 N Fenwick Ave,", Portland,['97217'],2 bd,1 ba,"1,500 sqft",1923,"$399,000","$404,100","$1,695/mo",Single Family,HOA fees$0/mo,"2017$2,546(+14%)$97,580(+3%)",(+0.3 %)
"2227 SW Arnold St,", Portland,['97219'],4 bd,2 ba,"2,838 sqft",1950,"$459,000","$525,986","$2,159/mo",Single Family,HOA fees$0/mo,"2017$7,195(+14%)$275,970(+3%)",(+1.7 %)
"4521 SE 58th Ave,", Portland,['97206'],3 bd,2 ba,"1,837 sqft",1909,"$429,000","$435,542","$1,795/mo",Single Family,HOA fees$0/mo,"2017$4,406(+14%)$168,830(+3%)",(+4.8 %)
,portland,97206,4.0,3.0,1995,2019,450000,"['""zestimate"":446317']","['""rentZestimate"":1333']",single family,[],"2017 $1,946 -- $47,860 --","+$161,075 (+56.5 %)"
"5941 SW Corbett Ave,", Portland,['97239'],3 bd,2 ba,"2,060 sqft",1908,"$379,129","$398,024","$1,895/mo",Single Family,HOA fees$0/mo,"2017$5,754(+14%)$220,680(+3%)",(+0.3 %)
"3446 SW Alice St,", Portland,['97219'],4 bd,3 ba,"2,154 sqft",1946,"$499,000",,,Single Family,,,
"6127 NE Hassalo St,", Portland,['97213'],2 bd,2 ba,982 sqft,1979,"$289,900","$297,586","$1,600/mo",Single Family,HOA fees$0/mo,"2017$2,686(+14%)$102,930(+3%)",(+2.9 %)
"3944 SW Condor Ave,", Portland,['97239'],4 bd,2 ba,"1,824 sqft",1900,"$419,900","$460,284","$2,195/mo",Single Family,HOA fees$0/mo,"2017$5,822(+14%)$223,300(+3%)",(+4.4 %)
"10171 SW 30th Ave,", Portland,['97219'],3 bd,3 ba,"2,015 sqft",1979,"$450,000","$470,737","$2,195/mo",Single Family,HOA fees$0/mo,"2017$6,880(+14%)$263,880(+3%)",(+4.7 %)
"3623 NE 8th Ave,", Portland,['97212'],2 bd,2 ba,"1,900 sqft",1895,"$399,000","$448,328","$1,895/mo",Single Family,HOA fees$0/mo,"2017$921(+14%)$35,300(+3%)",(+3.7 %)
"7215 SW 8th Ave,", Portland,['97219'],4 bd,3 ba,"2,437 sqft",1991,"$499,000","$512,134","$2,295/mo",Single Family,HOA fees$0/mo,"2017$8,723(+18.3%)$370,960(+3%)",(+1.2 %)
"3126 SE 151st Ave,", Portland,['97236'],5 bd,3 ba,"2,453 sqft",1981,"$399,000","$393,190","$1,980/mo",Single Family,HOA fees$0/mo,"2017$5,141(+16.5%)$234,190(+3%)",(+6.1 %)
"12406 SE Mill St,", Portland,['97233'],3 bd,2 ba,"2,679 sqft",1948,"$349,900","$373,403","$1,950/mo",Single Family,HOA fees$0/mo,"2017$4,245(+9.2%)$190,850(+3%)",(+7.2 %)
"4824 SW Arnold St,", Portland,['97219'],3 bd,2 ba,"1,656 sqft",1977,"$375,000","$396,705","$1,975/mo",Single Family,HOA fees$0/mo,"2017$5,167(+14%)$198,190(+3%)",(+0.7 %)
"2039 NE Blue Heron Dr,", Portland,['97211'],4 bd,3 ba,"1,938 sqft",1999,"$389,000","$393,725","$1,945/mo",Single Family,HOA fees$0/mo,"2017$6,231(+22.3%)$245,070(+3%)",(+2.8 %)
"618 SW Sherman St,", Portland,['97201'],2 bd,2 ba,"1,496 sqft",1896,"$365,000","$403,649","$1,995/mo",Single Family,HOA fees$0/mo,"2017$5,262(+14%)$201,830(+3%)",(+4.5 %)
"5126 N Commercial Ave,", Portland,['97217'],3 bd,2 ba,"2,154 sqft",1944,"$450,000",,,Single Family,,,
"12733 SE Salmon Ct,", Portland,['97233'],4 bd,2 ba,"2,953 sqft",1956,"$399,000","$400,458","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,328(+12.6%)$194,620(+3%)",(+5.9 %)
"10915 SW 64th Ave,", Portland,['97219'],2 bd,1 ba,764 sqft,1935,"$299,900","$305,359","$1,595/mo",Single Family,HOA fees$0/mo,"2017$2,888(+14%)$110,760(+3%)",(+2.9 %)
"8910 NE Eugene St,", Portland,['97220'],5 bd,2 ba,"2,302 sqft",1956,"$329,900","$349,169","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,120(+14%)$157,880(+3%)",(+2.7 %)
,portland,97211,2.0,,850,1926,390000,"['""zestimate"":388583']","['""rentZestimate"":1595']",single family,[],"2017 $2,623 +14% $100,520 +3%","$409,877 (+5.5 %)"
"445 NE 69th Ave,", Portland,['97213'],3 bd,2 ba,"1,946 sqft",1908,"$449,900",,,Single Family,,,
"3814 SE 33rd Pl,", Portland,['97202'],2 bd,3 ba,"1,102 sqft",1998,"$349,900","$354,559","$1,995/mo",Townhouse,HOA fees$0/mo,"2017$4,403(+14%)$168,720(+3%)",(+1.1 %)
"5715 SE 22nd Ave,", Portland,['97202'],4 bd,3 ba,"2,276 sqft",1929,"$449,900","$499,015","$2,100/mo",Single Family,HOA fees$0/mo,"2017$5,126(+14%)$196,410(+3%)",(+1.4 %)
"704 SE Umatilla St,", Portland,['97202'],3 bd,2 ba,"1,822 sqft",1926,"$480,000","$482,323","$2,350/mo",Single Family,HOA fees$0/mo,"2017$5,769(+14%)$221,050(+3%)",(+2.9 %)
,portland,97266,6.0,4.0,2998,1994,,"['""zestimate"":532828']",[],single family,[],,Unavailable
"8256 N Montana Ave,", Portland,['97217'],3 bd,1 ba,"1,448 sqft",1927,"$329,900","$355,199","$1,850/mo",Single Family,HOA fees$0/mo,"2017$3,007(+87.1%)$115,240(+69%)",(+7.1 %)
"2606 NE Fremont Dr,", Portland,['97220'],2 bd,1 ba,780 sqft,1949,"$245,000","$261,611","$1,495/mo",Single Family,HOA fees$0/mo,"2017$3,135(+14%)$120,120(+3%)",(+5.6 %)
"4424 SE 30th Ave,", Portland,['97202'],3 bd,2 ba,"1,494 sqft",1925,"$369,900","$426,666","$1,973/mo",Single Family,HOA fees$0/mo,"2017$4,057(+14%)$155,460(+3%)",
,portland,97219,2.0,2.0,924,1943,349900,"['""zestimate"":387193']","['""rentZestimate"":1995']",single family,[],"2017 $4,056 +14% $155,580 +3%","+$1,476 (+0.4 %)"
"4214 N Juneau St,", Portland,['97203'],3 bd,1.5 ba,"1,080 sqft",1984,"$265,000","$265,893","$1,750/mo",Single Family,HOA fees$0/mo,"2017$2,725(+14%)$104,410(+3%)",(+5.0 %)
"9220 SW Brier Pl,", Portland,['97219'],3 bd,1 ba,"2,356 sqft",1916,"$495,000","$471,077","$2,100/mo",Single Family,HOA fees$0/mo,"2017$3,964(+14%)$152,030(+3%)",(+11.4 %)
,portland,97266,3.0,3.0,2093,1968,250000,"['""zestimate"":385105']","['""rentZestimate"":2095']",single family,[],"2017 $3,913 +6.6% $175,930 +3%","+$5,573 (+1.5 %)"
"3333 NE Marine Dr # 54,", Portland,['97211'],2 bd,1 ba,"1,034 sqft",1976,"$199,000","$308,079","$1,495/mo",Single Family,HOA fees$0/mo,,(+0.7 %)
"6804 SE Ogden St,", Portland,['97206'],2 bd,1 ba,"1,376 sqft",1929,"$209,000","$311,480","$1,595/mo",Single Family,HOA fees$0/mo,"2017$3,207(+14%)$122,890(+3%)",
"7140 SE 112th Ave,", Portland,['97266'],3 bd,2 ba,"1,467 sqft",1970,"$299,900","$307,329","$1,800/mo",Single Family,HOA fees$0/mo,"2017$4,046(+6.6%)$181,900(+3%)",(+5.5 %)
"7101 NE Prescott St,", Portland,['97218'],5 bd,3 ba,"2,416 sqft",1927,"$499,900","$520,092","$2,100/mo",Single Family,HOA fees$0/mo,"2017$3,908(+65.4%)$103,230(+3%)",(+1.0 %)
"3906 NE Killingsworth St,", Portland,['97211'],4 bd,4 ba,"2,315 sqft",1913,"$325,000","$411,666","$1,900/mo",Single Family,HOA fees$0/mo,"2017$4,005(+14%)$153,480(+3%)",(+2.2 %)
"13640 NE Glisan St,", Portland,['97230'],3 bd,3 ba,"1,494 sqft",1992,"$355,000","$348,396","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,487(+8.6%)$205,720(+3%)",(+4.2 %)
,portland,97230,2.0,2.0,1595,1992,312000,"['""zestimate"":346384']","['""rentZestimate"":1900']",single family,"['HOA Fee"",""factValue"":""$27']","2017 $5,545 +15.1% $248,700 +3%","$365,851 (+5.6 %)"
"13837 SE Tenino St,", Portland,['97236'],3 bd,3 ba,"2,517 sqft",2000,"$500,000","$497,583","$2,125/mo",Single Family,HOA fees$0/mo,"2017$6,541(+10.7%)$294,090(+3%)",(+0.5 %)
"124 SW Woods St,", Portland,['97201'],4 bd,2 ba,"2,443 sqft",1882,"$360,000",,,Single Family,HOA fees$0/mo,"2017$5,188(+9.7%)$207,630(+3%)",
"9337 N Central St,", Portland,['97203'],2 bd,1 ba,"1,660 sqft",1925,"$295,000","$314,904","$1,797/mo",Single Family,HOA fees$0/mo,"2017$2,093(+14%)$80,210(+3%)",(+2.3 %)
"921 SE 38th Ave,", Portland,['97214'],3 bd,2 ba,"2,051 sqft",1912,"$499,900","$534,719","$2,095/mo",Single Family,HOA fees$0/mo,"2017$3,913(+14%)$149,960(+3%)",(+1.0 %)
"1236 NE 80th Ave,", Portland,['97213'],3 bd,2 ba,"1,932 sqft",1945,"$360,000","$377,157","$1,910/mo",Single Family,HOA fees$0/mo,"2017$3,908(+14%)$149,760(+3%)",(+3.9 %)
