address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,austin,78729,4.0,2.0,1615,1974,299500,"['""zestimate"":268018']","['""rentZestimate"":1595']",single family,[],"2018 $4,576 -- $260,147 +12.4%","$272,065 (+1.5 %)",https://www.zillow.com/homedetails/9610-Newberry-Dr-Austin-TX-78729/29567630_zpid/
,pflugerville,78660,4.0,3.0,2601,2012,299900,"['""zestimate"":303337']","['""rentZestimate"":1975']",single family,"['HOA Fee"",""factValue"":""$30']","2018 $6,883 -- $294,407 +10%","$310,951 (+2.5 %)",https://www.zillow.com/homedetails/14424-Lake-Victor-Dr-Pflugerville-TX-78660/111373431_zpid/
,pflugerville,78660,,,,,259995,"['""zestimate"":253850']","['""rentZestimate"":1750']",m: 10:00 am-6:30 pm; tu: 10:00 am-6:30 pm; w: 10:00 am-6:30 pm; th: 10:00 am-6:30 pm; f: 12:00 pm-7:00 pm; sa: 10:00 am-7:00 pm; su: 11:00 am-7:00 pm;,[],,+$506 (+0.2 %),https://www.zillow.com/community/landings-at-wells-branch/2092893888_zpid/
,austin,78744,3.0,3.0,1548,2005,209900,"['""zestimate"":235744']","['""rentZestimate"":1695']",single family,"['HOA Fee"",""factValue"":""$23']","2018 $4,881 -- $236,940 +7.5%","$245,692 (+4.2 %)",https://www.zillow.com/homedetails/2110-Nogales-Trl-Austin-TX-78744/70335141_zpid/
,austin,78728,,,,,285990,"['""zestimate"":301946']","['""rentZestimate"":1995']",mon 10-6 ; tue 10-6 ; wed 10-6 ; thu 10-6 ; fri 10-6 ; sat 10-6 ; sun 12-6,[],,"+$15,053 (+5.2 %)",https://www.zillow.com/community/wells-branch/2088583441_zpid/
,austin,78725,3.0,2.0,1203,2004,175000,"['""zestimate"":190272']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$26']","2018 $3,088 -- $159,758 +10.6%","$198,492 (+4.3 %)",https://www.zillow.com/homedetails/3407-Crownover-St-Austin-TX-78725/63837789_zpid/
,austin,78744,3.0,3.0,2234,2003,290000,"['""zestimate"":270929']","['""rentZestimate"":1795']",single family,"['HOA Fee"",""factValue"":""$20']","2018 $3,979 -- $203,456 +10%","$279,274 (+3.1 %)",https://www.zillow.com/homedetails/5402-Lurlyne-Ct-Austin-TX-78744/64455210_zpid/
,austin,78744,3.0,2.0,1343,2004,225000,"['""zestimate"":230570']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$25']","2018 $617 -- $205,185 +66.2%","$241,038 (+4.5 %)",https://www.zillow.com/homedetails/7108-Encanto-Trl-Austin-TX-78744/64732365_zpid/
,austin,78753,3.0,3.0,2206,1988,215000,"['""zestimate"":226355']","['""rentZestimate"":1695']",single family,"['HOA Fee"",""factValue"":""$26']","2018 $4,196 -- $201,628 +6.9%","$232,942 (+2.9 %)",https://www.zillow.com/homedetails/1107-Weatherford-Dr-Austin-TX-78753/29438743_zpid/
,pflugerville,78660,,,,,191990,"['""zestimate"":185669']","['""rentZestimate"":1525']","mon - mon: 12pm - 6pm, tue - sat: 10am - 6pm, sun - sun: 12pm - 6pm",[],,-$309 (-0.2 %),https://www.zillow.com/community/fort-dessau/2087757386_zpid/
