address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
11203 loblolly ln,euless,76040,3.0,2.0,1856,2018.0,128500,"['""zestimate"":297279']","['""rentZestimate"":1492']",mobile / manufactured,[],,"+$9,256 (+3.2 %)",https://www.zillow.com/homedetails/11203-Loblolly-Ln-Euless-TX-76040/2087614433_zpid/
11208 loblolly ln,euless,76040,4.0,2.0,2040,2018.0,134250,"['""zestimate"":307561']","['""rentZestimate"":1595']",mobile / manufactured,[],,"+$4,598 (+1.5 %)",https://www.zillow.com/homedetails/11208-Loblolly-Ln-Euless-TX-76040/2089322746_zpid/
948 e morningside dr,fort worth,76104,3.0,2.0,1241,1930.0,137500,"['""zestimate"":133324']","['""rentZestimate"":1345']",single family,[],"2018 $562 +23.1% $20,393 +24.4%","$138,297 (+3.7 %)",https://www.zillow.com/homedetails/948-E-Morningside-Dr-Fort-Worth-TX-76104/29092255_zpid/
5310 westminster ct s,fort worth,76133,3.0,2.0,1788,1969.0,194950,"['""zestimate"":197451']","['""rentZestimate"":1500']",single family,[],"2018 $3,327 -10.5% $171,276 +6.2%","$210,838 (+6.8 %)",https://www.zillow.com/homedetails/5310-Westminster-Ct-S-Fort-Worth-TX-76133/29142777_zpid/
10033 long rifle dr,fort worth,76108,2.0,2.0,1180,1988.0,139000,"['""zestimate"":147264']","['""rentZestimate"":1350']",single family,[],"2018 $2,027 +1.3% $130,404 +14.6%","$159,413 (+8.2 %)",https://www.zillow.com/homedetails/10033-Long-Rifle-Dr-Fort-Worth-TX-76108/29218393_zpid/
6005 rayburn dr,fort worth,76133,5.0,4.0,3797,1972.0,305000,"['""zestimate"":325013']","['""rentZestimate"":2113']",single family,[],"2018 $6,567 +9.2% $311,755 +11.3%","$338,794 (+4.2 %)",https://www.zillow.com/homedetails/6005-Rayburn-Dr-Fort-Worth-TX-76133/29109285_zpid/
10944 dillon st,fort worth,76179,3.0,2.0,1020,2005.0,150000,"['""zestimate"":143385']","['""rentZestimate"":1300']",single family,[],"2018 $3,412 +12.2% $129,000 +1.8%","$145,507 (+1.5 %)",https://www.zillow.com/homedetails/10944-Dillon-St-Fort-Worth-TX-76179/70574900_zpid/
5748 dunraven trl,fort worth,76244,3.0,2.0,1574,2010.0,200000,"['""zestimate"":210718']","['""rentZestimate"":1590']",single family,[],"2018 $5,447 +5% $187,254 +6.6%","$220,390 (+4.6 %)",https://www.zillow.com/homedetails/5748-Dunraven-Trl-Fort-Worth-TX-76244/89533168_zpid/
2204 dillard st,fort worth,76105,3.0,2.0,1630,2018.0,189500,"['""zestimate"":156945']",[],single family,[],"2018 $138 +147.8% $5,000 +150%","+$1,151 (+0.7 %)",https://www.zillow.com/homedetails/2204-Dillard-St-Fort-Worth-TX-76105/97695537_zpid/
4658 pine grove ln,fort worth,76123,5.0,4.0,4053,2003.0,299900,"['""zestimate"":303862']","['""rentZestimate"":2200']",single family,"['HOA Fee"",""factValue"":""$21']","2018 $9,118 -0.6% $297,117 +0.5%","$310,334 (+2.1 %)",https://www.zillow.com/homedetails/4658-Pine-Grove-Ln-Fort-Worth-TX-76123/63416505_zpid/
