DATE,POP
1/1/1960,17909009
1/1/1961,18271000
1/1/1962,18614000
1/1/1963,18964000
1/1/1964,19325000
1/1/1965,19678000
1/1/1966,20048000
1/1/1967,20412000
1/1/1968,20744000
1/1/1969,21028000
1/1/1970,21324000
1/1/1971,21645535
1/1/1972,21993631
1/1/1973,22369408
1/1/1974,22774087
1/1/1975,23209000
1/1/1976,23518000
1/1/1977,23796000
1/1/1978,24036000
1/1/1979,24277000
1/1/1980,24593000
1/1/1981,24900000
1/1/1982,25202000
1/1/1983,25456000
1/1/1984,25702000
1/1/1985,25942000
1/1/1986,26204000
1/1/1987,26550000
1/1/1988,26895000
1/1/1989,27379000
1/1/1990,27791000
1/1/1991,28171682
1/1/1992,28519597
1/1/1993,28833410
1/1/1994,29111906
1/1/1995,29354000
1/1/1996,29671900
1/1/1997,29987200
1/1/1998,30247900
1/1/1999,30499200
1/1/2000,30769700
1/1/2001,31081900
1/1/2002,31362000
1/1/2003,31676000
1/1/2004,31995000
1/1/2005,32312000
1/1/2006,32570505
1/1/2007,32887928
1/1/2008,33245773
1/1/2009,33628571
1/1/2010,34005274
1/1/2011,34342780
1/1/2012,34750545
1/1/2013,35152370
1/1/2014,35535348
1/1/2015,35832513
1/1/2016,36264604
1/1/2017,36708083
1/1/2018,37058856
