DATE,POP
1/1/1960,3581239
1/1/1961,3609800
1/1/1962,3638918
1/1/1963,3666537
1/1/1964,3694339
1/1/1965,3723168
1/1/1966,3753012
1/1/1967,3784539
1/1/1968,3816486
1/1/1969,3847707
1/1/1970,3875763
1/1/1971,3903039
1/1/1972,3933004
1/1/1973,3960612
1/1/1974,3985258
1/1/1975,4007313
1/1/1976,4026152
1/1/1977,4043205
1/1/1978,4058671
1/1/1979,4072517
1/1/1980,4085620
1/1/1981,4099702
1/1/1982,4114787
1/1/1983,4128432
1/1/1984,4140099
1/1/1985,4152516
1/1/1986,4167354
1/1/1987,4186905
1/1/1988,4209488
1/1/1989,4226901
1/1/1990,4241473
1/1/1991,4261732
1/1/1992,4286401
1/1/1993,4311991
1/1/1994,4336613
1/1/1995,4359184
1/1/1996,4381336
1/1/1997,4405157
1/1/1998,4431464
1/1/1999,4461913
1/1/2000,4490967
1/1/2001,4513751
1/1/2002,4538159
1/1/2003,4564855
1/1/2004,4591910
1/1/2005,4623291
1/1/2006,4660677
1/1/2007,4709153
1/1/2008,4768212
1/1/2009,4828726
1/1/2010,4889252
1/1/2011,4953088
1/1/2012,5018573
1/1/2013,5079623
1/1/2014,5137232
1/1/2015,5190239
1/1/2016,5234519
1/1/2017,5282223
1/1/2018,5353363
