DATE,POP
1/1/1960,2371800
1/1/1961,2419700
1/1/1962,2482000
1/1/1963,2531800
1/1/1964,2585400
1/1/1965,2628400
1/1/1966,2675900
1/1/1967,2724100
1/1/1968,2748100
1/1/1969,2772800
1/1/1970,2810700
1/1/1971,2853000
1/1/1972,2903900
1/1/1973,2961300
1/1/1974,3023700
1/1/1975,3083100
1/1/1976,3110500
1/1/1977,3120200
1/1/1978,3121200
1/1/1979,3109000
1/1/1980,3112900
1/1/1981,3124900
1/1/1982,3156100
1/1/1983,3199300
1/1/1984,3227100
1/1/1985,3247100
1/1/1986,3246300
1/1/1987,3274400
1/1/1988,3283400
1/1/1989,3299200
1/1/1990,3329800
1/1/1991,3495100
1/1/1992,3531700
1/1/1993,3572200
1/1/1994,3620000
1/1/1995,3673400
1/1/1996,3732000
1/1/1997,3781300
1/1/1998,3815000
1/1/1999,3835100
1/1/2000,3857700
1/1/2001,3880500
1/1/2002,3948500
1/1/2003,4027200
1/1/2004,4087500
1/1/2005,4133900
1/1/2006,4184600
1/1/2007,4223800
1/1/2008,4259800
1/1/2009,4302600
1/1/2010,4350700
1/1/2011,4384000
1/1/2012,4408100
1/1/2013,4442100
1/1/2014,4509700
1/1/2015,4595700
1/1/2016,4693200
1/1/2017,4793900
1/1/2018,4749598
