DATE,POP
1/1/1960,119897000
1/1/1961,121236000
1/1/1962,122591000
1/1/1963,123960000
1/1/1964,125345000
1/1/1965,126745000
1/1/1966,127468000
1/1/1967,128196000
1/1/1968,128928000
1/1/1969,129664000
1/1/1970,130404000
1/1/1971,131155000
1/1/1972,131909000
1/1/1973,132669000
1/1/1974,133432000
1/1/1975,134200000
1/1/1976,135147000
1/1/1977,136100000
1/1/1978,137060000
1/1/1979,138027000
1/1/1980,139010000
1/1/1981,139941000
1/1/1982,140823000
1/1/1983,141668000
1/1/1984,142745000
1/1/1985,143858000
1/1/1986,144894000
1/1/1987,145908000
1/1/1988,146857000
1/1/1989,147721000
1/1/1990,148292000
1/1/1991,148624000
1/1/1992,148689000
1/1/1993,148520000
1/1/1994,148336000
1/1/1995,148375726
1/1/1996,148160042
1/1/1997,147915307
1/1/1998,147670692
1/1/1999,147214392
1/1/2000,146596557
1/1/2001,145976083
1/1/2002,145306046
1/1/2003,144648257
1/1/2004,144067054
1/1/2005,143518523
1/1/2006,143049528
1/1/2007,142805088
1/1/2008,142742350
1/1/2009,142785342
1/1/2010,142849449
1/1/2011,142960868
1/1/2012,143201676
1/1/2013,143506911
1/1/2014,143819666
1/1/2015,144096870
1/1/2016,144342396
1/1/2017,144495044
1/1/2018,143964709
