,MeetCountry,Year,MeetID,MeetPath,Federation,Date,MeetState,MeetTown,MeetName,POP
0,Norway,1974,17,17,17,17,0,17,17,3985258.0
1,USA,1974,1,1,1,1,1,1,1,213854000.0
2,Norway,1975,11,11,11,11,0,11,11,4007313.0
3,UK,1975,1,1,1,1,0,1,1,56225800.0
4,USA,1976,1,1,1,1,1,1,1,218035000.0
5,Australia,1977,1,1,1,1,1,1,1,14192000.0
6,Finland,1978,1,1,1,1,0,1,1,
7,Norway,1978,1,1,1,1,0,1,1,4058671.0
8,Canada,1979,2,2,2,2,2,1,2,24277000.0
9,Norway,1979,3,3,3,3,0,3,3,4072517.0
10,USA,1979,1,1,1,1,1,1,1,225055000.0
11,Norway,1980,3,3,3,3,0,3,3,4085620.0
12,USA,1980,1,1,1,1,1,1,1,227225000.0
13,India,1981,1,1,1,1,1,1,1,
14,Norway,1981,1,1,1,1,0,1,1,4099702.0
15,Germany,1982,1,1,1,1,0,1,1,
16,Norway,1982,18,18,18,18,0,18,18,4114787.0
17,USA,1982,1,1,1,1,1,1,1,231664000.0
18,Canada,1983,2,2,2,2,2,2,2,25456000.0
19,Norway,1983,5,5,5,5,0,5,5,4128432.0
20,Sweden,1983,1,1,1,1,0,1,1,
21,Australia,1984,1,1,1,1,1,1,1,15544000.0
22,Canada,1984,2,2,2,2,2,2,2,25702000.0
23,Indonesia,1984,1,1,1,1,0,1,1,
24,USA,1984,1,1,1,1,1,1,1,235825000.0
25,Canada,1985,2,2,2,2,2,2,2,25942000.0
26,Finland,1985,1,1,1,1,0,1,1,
27,Norway,1985,3,3,3,3,0,3,3,4152516.0
28,Canada,1986,4,4,4,4,4,2,4,26204000.0
29,Netherlands,1986,1,1,1,1,0,1,1,
30,Norway,1986,1,1,1,1,0,1,1,4167354.0
31,USA,1986,1,1,1,1,1,1,1,240133000.0
32,Canada,1987,1,1,1,1,1,1,1,26550000.0
33,Norway,1987,7,7,7,7,0,7,7,4186905.0
34,USA,1987,1,1,1,1,1,1,1,242289000.0
35,Canada,1988,1,1,1,1,1,1,1,26895000.0
36,Norway,1988,1,1,1,1,0,1,1,4209488.0
37,USA,1988,1,1,1,1,1,1,1,244499000.0
38,Norway,1989,6,6,6,6,0,6,6,4226901.0
39,USA,1989,1,1,1,1,1,1,1,246819000.0
40,Norway,1990,17,17,17,17,0,17,17,4241473.0
41,Norway,1991,108,108,108,108,0,102,108,4261732.0
42,USA,1991,1,1,1,1,1,1,1,252981000.0
43,New Zealand,1992,1,1,1,1,1,1,1,3531700.0
44,Norway,1992,1,1,1,1,0,1,1,4286401.0
45,UK,1992,1,1,1,1,0,1,1,57580402.0
46,New Zealand,1993,4,4,4,4,4,3,4,3572200.0
47,Canada,1994,1,1,1,1,1,1,1,29111906.0
48,Norway,1994,1,1,1,1,0,1,1,4336613.0
49,South Africa,1994,1,1,1,1,0,1,1,
50,Canada,1995,14,14,14,14,14,14,14,29354000.0
51,Norway,1995,4,4,4,4,0,4,4,4359184.0
52,USA,1995,1,1,1,1,1,1,1,266278000.0
53,Canada,1996,24,24,24,24,24,21,24,29671900.0
54,Norway,1996,4,4,4,4,0,4,4,4381336.0
55,Canada,1997,18,18,18,18,18,16,18,29987200.0
56,Norway,1997,19,19,19,19,0,19,19,4405157.0
57,USA,1997,2,2,2,2,2,2,2,272657000.0
58,Canada,1998,29,29,29,29,27,26,29,30247900.0
59,Norway,1998,56,56,56,56,0,55,56,4431464.0
60,USA,1998,5,5,5,5,5,5,5,275854000.0
61,Canada,1999,53,53,53,53,53,50,53,30499200.0
62,Norway,1999,13,13,13,13,0,13,13,4461913.0
63,USA,1999,8,8,8,8,8,8,8,279040000.0
64,Argentina,2000,1,1,1,1,0,1,1,
65,Canada,2000,60,60,60,60,60,55,60,30769700.0
66,Japan,2000,1,1,1,1,0,1,1,
67,Norway,2000,113,113,113,113,0,110,113,4490967.0
68,USA,2000,14,14,14,14,14,14,14,282162411.0
69,Canada,2001,85,85,85,85,85,83,85,31081900.0
70,Norway,2001,101,101,101,101,0,94,101,4513751.0
71,USA,2001,14,14,14,14,14,14,14,284968955.0
72,Canada,2002,9,9,9,9,9,9,9,31362000.0
73,Norway,2002,117,117,117,117,0,114,117,4538159.0
74,USA,2002,12,12,12,12,12,12,12,287625193.0
75,Australia,2003,5,5,5,5,5,5,5,19895400.0
76,Canada,2003,23,23,23,23,23,23,23,31676000.0
77,New Zealand,2003,1,1,1,1,1,1,1,4027200.0
78,Norway,2003,120,120,120,120,0,114,120,4564855.0
79,USA,2003,12,12,12,12,12,11,12,290107933.0
80,Australia,2004,7,7,7,7,7,7,7,20127400.0
81,Canada,2004,37,37,37,37,37,37,37,31995000.0
